PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24,Hole25,Hole26,Hole27,Hole28,Hole29
Patchwah,Coyote Point at Lake Casitas,Main,2022-03-21 20:03,57,3,2,3,3,4,3,3,4,3,3,4,2,3,4,4,3,3,2,4,,,,,,,,,,,
Cjtheguardian,Coyote Point at Lake Casitas,Main,2022-03-21 20:03,69,15,3,3,4,3,4,4,4,4,3,4,4,4,3,4,4,5,4,5,,,,,,,,,,,
Par,Coyote Point at Lake Casitas,Main,2022-03-17 20:17,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Patchwah,Coyote Point at Lake Casitas,Main,2022-03-17 20:17,54,0,3,4,4,3,2,2,3,3,3,2,4,3,3,3,3,3,3,3,,,,,,,,,,,
Cjtheguardian,Coyote Point at Lake Casitas,Main,2022-03-17 20:17,62,8,3,3,3,3,2,4,4,3,5,3,3,3,4,4,5,3,3,4,,,,,,,,,,,
Par,Coyote Point at Lake Casitas,Main,2022-03-15 20:33,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Cjtheguardian,Coyote Point at Lake Casitas,Main,2022-03-15 20:33,65,11,3,4,2,4,4,3,4,2,3,5,3,3,3,3,5,6,4,4,,,,,,,,,,,
Patchwah,Coyote Point at Lake Casitas,Main,2022-03-15 20:33,65,11,4,4,5,4,3,3,4,3,3,2,5,4,3,5,3,4,3,3,,,,,,,,,,,
Par,Coyote Point at Lake Casitas,Main,2022-03-13 17:08,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Cjtheguardian,Coyote Point at Lake Casitas,Main,2022-03-13 17:08,66,12,4,4,5,3,4,3,4,4,4,2,4,5,3,3,4,4,3,3,,,,,,,,,,,
Par,Coyote Point at Lake Casitas,Main,2022-03-12 14:24,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Cjtheguardian,Coyote Point at Lake Casitas,Main,2022-03-12 14:24,61,7,3,3,4,3,4,3,5,3,2,3,4,2,2,5,4,4,4,3,,,,,,,,,,,
Par,Coyote Point at Lake Casitas,Main,2022-03-06 17:06,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
